1000.000	122.588	27.990	0.000	14.381
2.000	122.546	27.547	0.000	6.222
4.000	122.518	26.620	0.000	1.028
6.000	122.517	24.931	0.000	-4.085
8.000	122.538	23.526	0.000	-6.797
10.000	122.571	22.251	0.000	-1.166
12.000	122.598	20.861	0.000	-5.397
14.000	122.604	20.488	0.000	-13.038
16.000	122.593	20.649	0.000	-15.722
18.000	122.573	21.475	0.000	-17.062
20.000	122.558	22.522	0.000	-17.980
22.000	122.562	22.400	0.000	-24.621
24.000	122.580	21.363	0.000	-29.589
26.000	122.601	20.797	0.000	-30.428
28.000	122.612	19.256	0.000	-35.900
30.000	122.601	18.052	0.000	-39.080
32.000	122.573	18.099	0.000	-42.266
34.000	122.548	17.911	0.000	-56.688
36.000	122.540	17.264	0.000	-67.673
38.000	122.564	16.639	0.000	-64.998
40.000	122.612	17.518	0.000	-50.932
42.000	122.658	17.489	0.000	-51.509
44.000	122.677	16.860	0.000	-56.515
46.000	122.652	15.634	0.000	-63.534
48.000	122.589	14.589	0.000	-73.420
50.000	122.521	13.998	0.000	-85.990
52.000	122.488	14.115	0.000	-81.608
54.000	122.514	15.027	0.000	-83.811
56.000	122.598	15.281	0.000	-84.585
58.000	122.696	15.034	0.000	-88.574
60.000	122.755	14.392	0.000	-78.068
62.000	122.741	14.324	0.000	-68.834
64.000	122.651	13.825	0.000	-65.957
66.000	122.526	13.653	0.000	-61.850
68.000	122.437	13.149	0.000	-91.548
70.000	122.440	13.890	0.000	-95.021
72.000	122.548	13.667	0.000	-90.176
74.000	122.704	12.717	0.000	-75.795
76.000	122.823	13.576	0.000	-53.632
78.000	122.839	13.805	0.000	-57.523
80.000	122.736	13.334	0.000	-49.399
82.000	122.556	14.282	0.000	-79.036
84.000	122.400	14.952	0.000	-95.764
86.000	122.366	14.885	0.000	-106.936
88.000	122.488	13.806	0.000	-132.222
90.000	122.700	14.788	0.000	-117.341
92.000	122.879	13.571	0.000	-106.315
94.000	122.928	12.582	0.000	-110.988
96.000	122.815	12.006	0.000	-93.509
98.000	122.587	12.769	0.000	-91.131
100.000	122.370	13.058	0.000	-93.292
102.000	122.306	12.863	0.000	-105.404
104.000	122.448	13.178	0.000	-101.536
106.000	122.711	13.733	0.000	-98.075
108.000	122.935	13.530	0.000	-104.023
110.000	122.997	13.799	0.000	-98.370
112.000	122.861	13.790	0.000	-89.546
114.000	122.589	13.751	0.000	-87.405
116.000	122.336	14.351	0.000	-119.251
118.000	122.275	13.854	0.000	-130.533
120.000	122.455	12.709	0.000	-153.502
122.000	122.757	12.733	0.000	-141.391
124.000	122.991	13.223	0.000	-139.482
126.000	123.029	13.743	0.000	-137.495
128.000	122.852	13.214	0.000	-135.961
130.000	122.549	13.165	0.000	-132.763
132.000	122.306	12.598	0.000	-167.211
134.000	122.296	13.486	0.000	-175.494
136.000	122.525	14.079	0.000	-157.872
138.000	122.831	12.249	0.000	-139.172
140.000	123.024	13.270	0.000	-132.917
142.000	123.001	14.289	0.000	-148.912
144.000	122.780	13.853	0.000	-116.472
146.000	122.490	12.642	0.000	-104.866
148.000	122.320	12.417	0.000	-127.069
150.000	122.392	13.210	0.000	-142.690
152.000	122.641	12.773	0.000	-127.650
154.000	122.891	12.904	0.000	-116.462
156.000	122.993	12.538	0.000	-162.944
158.000	122.902	12.659	0.000	-156.240
160.000	122.684	13.332	0.000	-124.050
162.000	122.477	12.956	0.000	-104.170
164.000	122.419	12.882	0.000	-30.793
166.000	122.536	13.633	0.000	-132.603
168.000	122.728	13.111	0.000	-128.954
170.000	122.870	12.917	0.000	-125.950
172.000	122.888	12.957	0.000	-119.606
174.000	122.794	13.808	0.000	-119.979
176.000	122.660	13.229	0.000	-112.210
178.000	122.567	13.172	0.000	-95.278
180.000	122.559	12.797	0.000	-130.677
182.000	122.621	13.338	0.000	-86.016
184.000	122.704	13.953	0.000	-116.020
186.000	122.771	13.535	0.000	-132.818
188.000	122.805	13.809	0.000	-135.563
190.000	122.800	13.837	0.000	-124.779
192.000	122.757	13.709	0.000	-123.397
194.000	122.677	14.407	0.000	-120.580
196.000	122.593	14.179	0.000	-145.426
198.000	122.557	14.643	0.000	-139.178
200.000	122.614	15.438	0.000	-143.057
202.000	122.752	15.617	0.000	-150.399
204.000	122.888	14.562	0.000	-150.970
206.000	122.926	13.298	0.000	-163.129
208.000	122.820	13.373	0.000	-157.585
210.000	122.616	14.658	0.000	-156.767
212.000	122.457	13.809	0.000	-164.838
214.000	122.480	12.846	0.000	-174.335
216.000	122.691	14.637	0.000	-171.895
218.000	122.937	16.176	0.000	-169.797
220.000	123.040	15.924	0.000	-165.995
222.000	122.922	15.816	0.000	-171.973
224.000	122.648	15.044	0.000	176.266
226.000	122.413	14.134	0.000	163.908
228.000	122.419	15.980	0.000	167.533
230.000	122.666	17.196	0.000	163.448
232.000	122.954	16.647	0.000	160.038
234.000	123.073	17.000	0.000	165.128
236.000	122.947	16.650	0.000	161.583
238.000	122.667	15.601	0.000	152.816
240.000	122.441	16.277	0.000	142.631
242.000	122.454	16.433	0.000	142.198
244.000	122.680	16.015	0.000	141.941
246.000	122.923	15.826	0.000	136.364
248.000	123.012	17.000	0.000	130.051
250.000	122.908	17.016	0.000	134.732
252.000	122.703	16.863	0.000	132.025
254.000	122.554	15.818	0.000	127.578
256.000	122.557	15.748	0.000	115.099
258.000	122.683	16.208	0.000	99.058
260.000	122.820	16.039	0.000	91.707
262.000	122.889	16.222	0.000	90.355
264.000	122.876	15.462	0.000	86.250
266.000	122.807	14.999	0.000	84.667
268.000	122.719	14.619	0.000	83.477
270.000	122.642	14.402	0.000	91.420
272.000	122.615	13.782	0.000	66.665
274.000	122.672	14.181	0.000	52.117
276.000	122.803	14.800	0.000	43.093
278.000	122.934	14.281	0.000	32.169
280.000	122.959	12.952	0.000	49.939
282.000	122.831	13.920	0.000	51.274
284.000	122.619	14.078	0.000	46.912
286.000	122.493	14.051	0.000	26.166
288.000	122.592	13.308	0.000	19.681
290.000	122.849	13.300	0.000	19.258
292.000	123.053	13.388	0.000	18.727
294.000	123.037	14.212	0.000	-11.735
296.000	122.799	14.424	0.000	-12.336
298.000	122.523	12.607	0.000	-9.245
300.000	122.457	13.189	0.000	-32.782
302.000	122.669	12.799	0.000	-22.324
304.000	122.956	13.328	0.000	-18.988
306.000	123.079	12.776	0.000	-30.583
308.000	122.960	12.574	0.000	-57.523
310.000	122.704	12.998	0.000	-74.655
312.000	122.530	13.540	0.000	-65.414
314.000	122.578	13.044	0.000	-92.401
316.000	122.774	12.606	0.000	-150.123
318.000	122.939	12.324	0.000	-132.527
320.000	122.967	13.156	0.000	-151.897
322.000	122.876	13.191	0.000	-128.685
324.000	122.749	12.616	0.000	-151.917
326.000	122.665	12.631	0.000	-159.197
328.000	122.654	12.918	0.000	-172.720
330.000	122.715	13.090	0.000	-163.582
332.000	122.830	11.870	0.000	-159.591
334.000	122.941	12.604	0.000	-166.765
336.000	122.969	13.744	0.000	-178.388
338.000	122.859	13.263	0.000	-176.606
340.000	122.664	12.615	0.000	-162.449
342.000	122.547	13.719	0.000	163.938
344.000	122.649	13.218	0.000	141.197
346.000	122.904	12.459	0.000	142.519
348.000	123.083	13.470	0.000	162.767
350.000	123.024	13.967	0.000	150.763
352.000	122.759	13.398	0.000	125.611
354.000	122.519	12.418	0.000	157.695
356.000	122.549	11.287	0.000	136.465
358.000	122.815	11.571	0.000	131.000
360.000	123.053	12.751	0.000	130.261
362.000	123.064	13.022	0.000	146.293
364.000	122.861	11.033	0.000	132.609
366.000	122.635	10.229	0.000	173.110
368.000	122.587	12.660	0.000	153.692
370.000	122.727	12.567	0.000	103.397
372.000	122.900	12.702	0.000	124.498
374.000	122.978	12.808	0.000	131.212
376.000	122.940	11.889	0.000	109.984
378.000	122.837	11.266	0.000	165.048
380.000	122.727	11.496	0.000	141.251
382.000	122.662	11.181	0.000	157.391
384.000	122.699	12.612	0.000	175.153
386.000	122.844	12.289	0.000	168.531
388.000	123.004	12.754	0.000	157.290
390.000	123.032	12.925	0.000	166.581
392.000	122.865	12.414	0.000	179.203
394.000	122.625	11.708	0.000	176.378
396.000	122.555	12.231	0.000	158.619
398.000	122.760	12.361	0.000	144.019
400.000	123.037	12.830	0.000	142.775
402.000	123.117	13.913	0.000	148.475
404.000	122.927	14.460	0.000	136.842
406.000	122.645	13.947	0.000	133.490
408.000	122.558	13.603	0.000	136.259
410.000	122.741	12.973	0.000	119.499
412.000	122.979	13.370	0.000	114.600
414.000	123.055	13.077	0.000	103.449
416.000	122.943	14.171	0.000	108.854
418.000	122.772	14.501	0.000	118.419
420.000	122.682	13.556	0.000	101.417
422.000	122.711	13.079	0.000	97.317
424.000	122.815	12.841	0.000	96.836
426.000	122.937	13.327	0.000	77.820
428.000	123.011	13.930	0.000	72.500
430.000	122.964	14.734	0.000	86.754
432.000	122.788	13.636	0.000	65.201
434.000	122.620	11.973	0.000	78.591
436.000	122.659	11.501	0.000	69.415
438.000	122.906	12.405	0.000	63.858
440.000	123.114	12.417	0.000	53.578
442.000	123.065	10.545	0.000	41.442
444.000	122.790	10.090	0.000	82.365
446.000	122.569	12.271	0.000	58.599
448.000	122.655	12.190	0.000	50.809
450.000	122.933	12.454	0.000	44.077
452.000	123.098	13.197	0.000	12.259
454.000	123.018	12.934	0.000	41.635
456.000	122.808	12.041	0.000	61.900
458.000	122.681	11.997	0.000	112.905
460.000	122.720	12.364	0.000	124.099
462.000	122.845	11.835	0.000	87.428
464.000	122.958	12.230	0.000	73.199
466.000	123.011	11.789	0.000	46.763
468.000	122.964	12.112	0.000	84.479
470.000	122.811	12.358	0.000	152.107
472.000	122.657	11.149	0.000	37.355
474.000	122.691	11.102	0.000	54.527
476.000	122.931	11.040	0.000	77.251
478.000	123.130	12.211	0.000	78.537
480.000	123.062	11.254	0.000	67.232
482.000	122.770	11.543	0.000	138.479
484.000	122.576	12.967	0.000	113.037
486.000	122.718	13.142	0.000	90.440
488.000	123.010	11.171	0.000	74.500
490.000	123.123	11.724	0.000	62.910
492.000	122.977	10.909	0.000	50.695
494.000	122.761	11.773	0.000	54.898
496.000	122.694	12.598	0.000	59.479
498.000	122.788	12.069	0.000	62.697
500.000	122.914	12.596	0.000	66.208
502.000	122.998	12.888	0.000	65.054
504.000	123.015	12.049	0.000	84.951
506.000	122.925	11.666	0.000	50.093
508.000	122.746	12.072	0.000	32.489
510.000	122.656	12.589	0.000	40.665
512.000	122.818	12.390	0.000	27.898
514.000	123.088	12.750	0.000	38.366
516.000	123.149	11.387	0.000	67.999
518.000	122.903	12.789	0.000	48.306
520.000	122.617	13.878	0.000	40.583
522.000	122.657	12.282	0.000	41.611
524.000	122.958	12.251	0.000	48.257
526.000	123.137	12.760	0.000	31.412
528.000	123.030	12.439	0.000	33.293
530.000	122.810	11.465	0.000	31.517
532.000	122.723	12.058	0.000	18.140
534.000	122.795	12.009	0.000	22.236
536.000	122.899	12.286	0.000	14.859
538.000	122.986	12.795	0.000	1.255
540.000	123.038	12.768	0.000	-38.189
542.000	122.973	13.150	0.000	-24.527
544.000	122.772	12.128	0.000	-27.474
546.000	122.649	11.764	0.000	-15.246
548.000	122.828	11.258	0.000	-24.281
550.000	123.128	11.052	0.000	-8.360
552.000	123.168	11.420	0.000	31.749
554.000	122.875	12.725	0.000	-0.937
556.000	122.605	13.260	0.000	-21.320
558.000	122.722	12.689	0.000	-48.608
560.000	123.031	12.216	0.000	-7.176
562.000	123.134	12.015	0.000	-30.128
564.000	122.976	12.422	0.000	-49.738
566.000	122.801	11.976	0.000	-46.860
568.000	122.778	11.752	0.000	10.302
570.000	122.833	11.999	0.000	21.841
572.000	122.904	11.600	0.000	142.372
574.000	123.017	12.350	0.000	-89.752
576.000	123.082	10.828	0.000	-43.150
578.000	122.940	11.024	0.000	6.786
580.000	122.684	11.484	0.000	-6.397
582.000	122.681	12.158	0.000	-30.128
584.000	123.006	12.216	0.000	-37.764
586.000	123.225	11.657	0.000	-18.879
588.000	123.047	11.207	0.000	-23.180
590.000	122.697	10.448	0.000	-9.266
592.000	122.656	10.792	0.000	-6.629
594.000	122.936	11.796	0.000	-61.254
596.000	123.115	12.919	0.000	-50.698
598.000	123.036	12.845	0.000	-67.524
600.000	122.887	12.590	0.000	-79.472
602.000	122.827	11.369	0.000	-43.101
604.000	122.813	11.902	0.000	-41.484
606.000	122.845	11.279	0.000	-35.810
608.000	122.997	11.853	0.000	-81.787
610.000	123.135	12.333	0.000	-45.586
612.000	123.013	11.188	0.000	-30.364
614.000	122.708	10.954	0.000	-9.450
616.000	122.659	12.322	0.000	-25.874
618.000	122.989	12.155	0.000	-59.707
